# Stock LG V60 vendor module symbol CRCs (extracted from /vendor/lib/modules/*.ko)
# Format: <symbol> 0x<crc32>
# A built kernel whose symbols differ from any entry here will make the
# corresponding stock module refuse to load (module_layout / disagrees about version).
PDE_DATA 0xe686865f
___ratelimit 0x1d24c881
__alloc_skb 0x2bb0910a
__alloc_workqueue_key 0x43a53735
__arch_copy_from_user 0xaf507de1
__arch_copy_to_user 0x6b2941b2
__cfg80211_alloc_event_skb 0x5e71c33c
__cfg80211_alloc_reply_skb 0xdaf8473b
__cfg80211_send_event_skb 0x3b294ea3
__cfi_slowpath 0x2cd90edd
__check_object_size 0x88db9f48
__class_create 0x93d22f66
__clk_is_enabled 0xc6a4a872
__const_udelay 0xeae3dfd6
__cpu_isolated_mask 0x294f26f7
__cpu_online_mask 0x16624d6e
__cpu_possible_mask 0x8e3f011a
__cpuhp_remove_state 0xc7a4425f
__cpuhp_setup_state 0xcec2d88f
__dev_kfree_skb_any 0xc13821c4
__devm_regmap_init 0xa2df0ab4
__devm_regmap_init_i2c 0x8cad1a10
__devm_regmap_init_swr 0xe7dca842
__init_rwsem 0x6494af09
__init_waitqueue_head 0xd9a5ea54
__ioremap 0x6b4b2933
__iounmap 0x45a55ec8
__ipv6_addr_type 0x0d542439
__irq_domain_add 0xf8dd68bb
__kmalloc 0xd2b09ce5
__list_add_valid 0x68f31cbd
__list_del_entry_valid 0xe1537255
__local_bh_enable_ip 0x3c3fce39
__memcpy_toio 0xf77555cd
__memset_io 0x18b48e28
__msecs_to_jiffies 0x7f02188f
__mutex_init 0x9a76f11f
__napi_schedule 0x5b1a7bdf
__netdev_alloc_skb 0xf3a7201c
__netlink_kernel_create 0x6bf35942
__nla_parse 0xf84e565f
__nlmsg_put 0x9c3fd169
__per_cpu_offset 0x7ecb001b
__platform_driver_register 0xb1f1899e
__pm_relax 0x6b067a66
__pm_runtime_disable 0xe7cebef4
__pm_runtime_resume 0x943943f0
__pm_runtime_set_status 0xb27655b5
__pm_runtime_suspend 0xb3f50276
__pm_runtime_use_autosuspend 0xb5c44f34
__pm_stay_awake 0xb1a0df6a
__pskb_pull_tail 0xfc45b4d1
__put_page 0xf27f8b60
__put_task_struct 0xe90c1f43
__rcu_read_lock 0x8d522714
__rcu_read_unlock 0x2469810f
__refrigerator 0x04482cdb
__register_rpmsg_driver 0x34c5b3e2
__regmap_init 0x41da5954
__skb_get_hash 0xa8ad08a4
__skb_gso_segment 0xf38e81f8
__stack_chk_fail 0xf0fdf6cb
__stack_chk_guard 0x8f678b07
__sw_hweight32 0x74c134b9
__sw_hweight64 0x9f46ced8
__sw_hweight8 0xdc3fcbc9
__tasklet_schedule 0x0faef0ed
__trace_bprintk 0xa20d01ba
__tracepoint_rmnet_freq_boost 0x99ff551c
__tracepoint_rmnet_freq_reset 0xd2fd78c3
__tracepoint_rmnet_freq_update 0xadc36b14
__tracepoint_rmnet_perf_low 0x5dcb6640
__tracepoint_rmnet_shs_err 0xa76f6379
__tracepoint_rmnet_shs_high 0x9dd7d907
__tracepoint_rmnet_shs_low 0xb3eee895
__tracepoint_rmnet_shs_wq_high 0x960e89b0
__tracepoint_rmnet_shs_wq_low 0xb1617e5a
__udelay 0x9e7d6bd0
__usecs_to_jiffies 0xf1969a8e
__v4l2_ctrl_s_ctrl 0x40571b16
__video_register_device 0xdd2131c1
__wake_up 0x3eeb2322
__warn_printk 0x56470118
_ctype 0x11089ac7
_dev_err 0x6f2cb24b
_dev_info 0x1ba66cfe
_dev_warn 0xa877e20b
_raw_read_lock_bh 0x150e3657
_raw_read_unlock_bh 0x0ad10eb8
_raw_spin_lock 0xdbf17652
_raw_spin_lock_bh 0xb3635b01
_raw_spin_lock_irqsave 0x51760917
_raw_spin_trylock 0x8c3253ec
_raw_spin_unlock 0x301fa007
_raw_spin_unlock_bh 0x49c41a57
_raw_spin_unlock_irqrestore 0x3812050a
add_timer 0x65744673
adm_close 0x6526f6d7
adm_connect_afe_port 0xbca2f1a4
adm_copp_mfc_cfg 0xf4781dac
adm_ec_ref_chmixer_weights 0x6502da64
adm_ec_ref_rx_bit_width 0x6d7e0dbc
adm_ec_ref_rx_id 0x749452b0
adm_ec_ref_rx_sampling_rate 0xef35a637
adm_get_default_copp_idx 0xa404de9f
adm_get_multi_ch_map 0xb2914f05
adm_get_pp_params 0x543b907a
adm_get_sound_focus 0x5a219680
adm_get_source_tracking 0xe9d1ba8c
adm_get_topology_for_port_copp_idx 0x92fdd07d
adm_matrix_map 0xab07b6b7
adm_num_ec_ref_rx_chans 0x784a0b0b
adm_num_ec_ref_rx_chans_downmixed 0xd98e2972
adm_open 0x2a7b9e5e
adm_programable_channel_mixer 0x15fbb941
adm_send_compressed_device_latency 0x89317834
adm_send_compressed_device_mute 0x8f6da9c1
adm_send_set_multichannel_ec_primary_mic_ch 0xbaac0207
adm_set_custom_chmix_cfg 0x1c0d0fd6
adm_set_ffecns_effect 0x73b44b80
adm_set_ffecns_freeze_event 0x9132c3ab
adm_set_mic_gain 0xf66b8640
adm_set_multi_ch_map 0x052e127e
adm_set_port_multi_ch_map 0xfa58c259
adm_set_pp_params 0x983d8e5e
adm_set_sound_focus 0x49332d8b
adm_set_stereo_to_custom_stereo 0xb385dada
adm_set_volume 0x15e5575a
adm_swap_speaker_channels 0xc61e112b
afe_close 0xb5bc53c3
afe_cmd_memory_unmap 0x48d5f9f8
afe_dtmf_generate_rx 0x6fd78ca4
afe_get_av_dev_drift 0x1eb6ad2a
afe_get_island_mode_cfg 0x3cae61ac
afe_get_port_type 0xfabb216c
afe_loopback 0xc06e3811
afe_loopback_gain 0x23699c65
afe_memory_map 0x1ed6534f
afe_open 0x381a5e10
afe_port_get_mad_type 0x9a52ec94
afe_port_group_enable 0x9887ea67
afe_port_set_mad_type 0x9d387396
afe_port_start 0x74572fc9
afe_port_start_v2 0x16cdb383
afe_port_start_v3 0x0d509b40
afe_q6_interface_prepare 0x2ec429e0
afe_register_get_events 0xf8df7d99
afe_req_mmap_handle 0x187ea312
afe_rt_proxy_port_read 0x99d9adea
afe_rt_proxy_port_write 0x541a1358
afe_send_port_island_mode 0x36e10f8f
afe_send_spdif_ch_status_cfg 0xc43f67bd
afe_set_aanc_info 0x34dc5be6
afe_set_aanc_noise_level 0xa41463cb
afe_set_cal_mode 0x58a4a958
afe_set_cps_config 0x4c2c7d40
afe_set_display_stream 0x57d10839
afe_set_dtmf_gen_rx_portid 0xf998882e
afe_set_island_mode_cfg 0xd31b58e6
afe_set_lpass_clk_cfg 0xcfaf7c13
afe_set_lpass_clock 0x9d3424e0
afe_set_lpass_clock_v2 0x6018faeb
afe_set_lsm_afe_port_id 0x56d2fdd2
afe_set_mclk_src_cfg 0xb8ce7c83
afe_set_pll_clk_drift 0x6ba5de1c
afe_set_routing_callback 0xb39c4ca6
afe_set_tws_channel_mode 0xc22408c2
afe_spdif_port_start 0x2e13e0ce
afe_spdif_reg_event_cfg 0x151154d3
afe_spk_prot_feed_back_cfg 0xd48ad65c
afe_tdm_port_start 0xcb4e15a8
afe_tfadsp_read 0xbcd8eb53
afe_tfadsp_write 0x91e66dcd
afe_unregister_get_events 0x8c6bf9aa
afe_unvote_lpass_core_hw 0xacb552bb
afe_vote_lpass_core_hw 0x344bb9dc
alloc_chrdev_region 0xe3ec2f2b
alloc_netdev_mqs 0x76f79570
apr_deregister 0x521d8898
apr_end_rx_rt 0x6c64676c
apr_get_modem_state 0x95d35054
apr_get_q6_state 0x0a483fec
apr_get_subsys_state 0x844e844e
apr_register 0xd8bb0ffa
apr_reset 0x72409b16
apr_send_pkt 0xd93f171c
apr_set_modem_state 0xffce7c23
apr_start_rx_rt 0xa0ddd564
arch_setup_dma_ops 0xbed35048
arch_timer_read_ool_enabled 0x128dcaaa
arm64_const_caps_ready 0x14b89635
atomic_notifier_call_chain 0xd3752c27
atomic_notifier_chain_register 0x2b9997fb
atomic_notifier_chain_unregister 0x7181db30
audio_notifier_deregister 0xc5656b4d
audio_notifier_register 0xa7fe7810
